time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
82530,117.0,199.0,0.64,0.85,50.0,0.79,34,89,58,0
82540,117.0,199.0,0.64,0.85,50.0,0.79,35,89,58,0
82550,117.0,199.0,0.64,0.85,50.0,0.79,33,90,58,0
82560,117.0,199.0,0.64,0.85,50.0,0.79,33,90,56,0
82570,117.0,199.0,0.64,0.85,50.0,0.79,33,90,56,0
82580,117.0,199.0,0.64,0.85,50.0,0.79,30,90,56,0
82590,117.0,199.0,0.64,0.85,50.0,0.79,33,90,56,0
82600,117.0,199.0,0.64,0.85,50.0,0.79,32,90,56,0
82610,117.0,199.0,0.64,0.85,50.0,0.79,31,90,56,0
82620,117.0,199.0,0.64,0.85,50.0,0.79,31,90,56,0
82630,117.0,199.0,0.64,0.85,50.0,0.79,32,90,56,0
82640,117.0,199.0,0.64,0.85,50.0,0.79,32,90,56,0
82650,117.0,199.0,0.64,0.85,50.0,0.79,34,91,56,0
82660,117.0,199.0,0.64,0.85,50.0,0.79,35,90,56,0
82670,117.0,199.0,0.64,0.85,50.0,0.79,35,91,56,0
82680,117.0,199.0,0.64,0.85,50.0,0.79,36,91,56,0
82690,117.0,199.0,0.64,0.85,50.0,0.79,35,91,56,0
82710,117.0,199.0,0.64,0.85,50.0,0.79,32,91,56,0
82720,117.0,199.0,0.64,0.85,50.0,0.79,33,92,56,0
82730,117.0,199.0,0.64,0.85,50.0,0.79,32,91,56,0
82740,117.0,199.0,0.64,0.85,50.0,0.79,32,92,54,0
82780,96.0,102.0,0.17,0.23,100.0,1.53,27,89,54,0
82790,96.0,102.0,0.17,0.23,100.0,1.53,26,88,54,0
82800,96.0,102.0,0.17,0.23,100.0,1.53,27,88,56,0
82810,96.0,102.0,0.17,0.23,100.0,1.53,32,88,56,0
82820,96.0,102.0,0.17,0.23,100.0,1.53,29,89,56,0
82830,96.0,102.0,0.17,0.23,100.0,1.53,30,89,56,0
82840,96.0,102.0,0.17,0.23,100.0,1.53,31,89,56,0
82850,96.0,102.0,0.17,0.23,100.0,1.53,31,89,56,0
82860,96.0,102.0,0.17,0.23,100.0,1.53,29,89,52,0
82870,96.0,102.0,0.17,0.23,100.0,1.53,32,89,52,0
82880,96.0,102.0,0.17,0.23,100.0,1.53,30,89,52,0
82890,96.0,102.0,0.17,0.23,100.0,1.53,32,89,52,0
82900,96.0,102.0,0.17,0.23,100.0,1.53,32,89,52,0
82910,96.0,102.0,0.17,0.23,100.0,1.53,34,89,52,0
82920,96.0,102.0,0.17,0.23,100.0,1.53,33,89,54,0
82930,96.0,102.0,0.17,0.23,100.0,1.53,34,88,54,0
82940,96.0,102.0,0.17,0.23,100.0,1.53,34,88,54,0
82950,96.0,102.0,0.17,0.23,100.0,1.53,33,89,54,0
82960,96.0,102.0,0.17,0.23,100.0,1.53,34,88,54,0
82970,96.0,102.0,0.17,0.23,100.0,1.53,33,88,54,0
82980,96.0,102.0,0.17,0.23,100.0,1.53,31,87,55,0
82990,96.0,102.0,0.17,0.23,100.0,1.53,33,88,55,0
83000,96.0,102.0,0.17,0.23,100.0,1.53,30,88,55,0
83010,103.0,199.0,0.47,0.68,50.0,0.59,31,88,55,0
83020,103.0,199.0,0.47,0.68,50.0,0.59,29,88,55,0
83030,103.0,199.0,0.47,0.68,50.0,0.59,30,88,55,0
83040,103.0,199.0,0.47,0.68,50.0,0.59,34,89,56,0
83050,103.0,199.0,0.47,0.68,50.0,0.59,37,89,56,0
83060,103.0,199.0,0.47,0.68,50.0,0.59,34,89,56,0
83070,103.0,199.0,0.47,0.68,50.0,0.59,34,89,56,0
83080,103.0,199.0,0.47,0.68,50.0,0.59,32,89,56,0
83090,103.0,199.0,0.47,0.68,50.0,0.59,32,89,56,0
83100,103.0,199.0,0.47,0.68,50.0,0.59,30,89,59,0
83110,103.0,199.0,0.47,0.68,50.0,0.59,34,89,59,0
83120,103.0,199.0,0.47,0.68,50.0,0.59,33,89,59,0
83130,103.0,199.0,0.47,0.68,50.0,0.59,33,89,59,0
83140,103.0,199.0,0.47,0.68,50.0,0.59,32,89,59,0
83150,103.0,199.0,0.47,0.68,50.0,0.59,31,89,59,0
83160,103.0,199.0,0.47,0.68,50.0,0.59,30,89,53,0
83170,103.0,199.0,0.47,0.68,50.0,0.59,33,89,53,0
83180,103.0,199.0,0.47,0.68,50.0,0.59,32,89,53,0
83190,103.0,199.0,0.47,0.68,50.0,0.59,32,89,53,0
83200,103.0,199.0,0.47,0.68,50.0,0.59,31,89,53,0
83210,103.0,199.0,0.47,0.68,50.0,0.59,36,89,53,0
83220,103.0,199.0,0.47,0.68,50.0,0.59,32,89,54,0
83230,103.0,199.0,0.47,0.68,50.0,0.59,34,89,54,0
83240,103.0,199.0,0.47,0.68,50.0,0.59,32,89,54,0
83250,103.0,199.0,0.47,0.68,50.0,0.59,30,89,54,0
83260,103.0,199.0,0.47,0.68,50.0,0.59,31,89,54,0
83270,103.0,199.0,0.47,0.68,50.0,0.59,35,89,54,0
83280,103.0,199.0,0.47,0.68,50.0,0.59,31,89,59,0
83290,103.0,199.0,0.47,0.68,50.0,0.59,31,89,59,0
83300,103.0,199.0,0.47,0.68,50.0,0.59,29,89,59,0
83310,103.0,199.0,0.47,0.68,50.0,0.59,33,89,59,0
83320,103.0,199.0,0.47,0.68,50.0,0.59,31,89,59,0
83330,103.0,199.0,0.47,0.68,50.0,0.59,31,89,59,0
