time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
77860,213.0,981.0,0.09,0.15,100.0,0.59,34,81,67,0
81920,103.0,207.0,0.55,0.73,50.0,0.79,20,83,64,0
81930,103.0,207.0,0.55,0.73,50.0,0.79,21,84,64,0
81940,103.0,207.0,0.55,0.73,50.0,0.79,22,84,64,0
81950,103.0,207.0,0.55,0.73,50.0,0.79,18,83,64,0
81960,103.0,207.0,0.55,0.73,50.0,0.79,17,83,59,0
81970,103.0,207.0,0.55,0.73,50.0,0.79,17,83,59,0
81980,103.0,207.0,0.55,0.73,50.0,0.79,16,83,59,0
81990,103.0,207.0,0.55,0.73,50.0,0.79,14,83,59,0
82000,103.0,207.0,0.55,0.73,50.0,0.79,13,83,59,0
82010,103.0,207.0,0.55,0.73,50.0,0.79,13,83,59,0
82020,103.0,207.0,0.55,0.73,50.0,0.79,14,84,64,0
82030,103.0,207.0,0.55,0.73,50.0,0.79,13,84,64,0
82040,118.0,149.0,0.1,0.16,100.0,0.16,12,83,64,0
82050,118.0,149.0,0.1,0.16,100.0,0.16,13,84,64,0
82060,118.0,149.0,0.1,0.16,100.0,0.16,22,84,64,0
82070,118.0,149.0,0.1,0.16,100.0,0.16,22,84,64,0
83980,36.0,202.0,0.57,0.72,200.0,0.59,29,86,76,0
83990,36.0,202.0,0.57,0.72,200.0,0.59,43,85,76,0
84000,36.0,202.0,0.57,0.72,200.0,0.59,31,85,84,0
84010,36.0,202.0,0.57,0.72,200.0,0.59,27,85,84,0
84020,101.0,203.0,0.26,0.43,50.0,0.59,26,86,84,0
84030,101.0,203.0,0.26,0.43,50.0,0.59,28,87,84,0
84040,101.0,203.0,0.26,0.43,50.0,0.59,37,87,84,0
84050,101.0,203.0,0.26,0.43,50.0,0.59,37,86,84,0
84060,99.0,103.0,0.03,0.03,100.0,0.35,31,86,78,0
84140,95.0,187.0,0.36,0.51,50.0,0.59,29,86,73,0
84150,95.0,187.0,0.36,0.51,50.0,0.59,29,86,73,0
84160,95.0,187.0,0.36,0.51,50.0,0.59,58,91,73,0
84170,95.0,187.0,0.36,0.51,50.0,0.59,73,94,73,0
84180,95.0,187.0,0.36,0.51,50.0,0.59,73,94,81,0
84190,95.0,187.0,0.36,0.51,50.0,0.59,75,93,81,0
84200,95.0,187.0,0.36,0.51,50.0,0.59,86,90,81,0
84210,95.0,187.0,0.36,0.51,50.0,0.59,87,88,81,0
84220,95.0,187.0,0.36,0.51,50.0,0.59,79,88,81,0
84230,95.0,187.0,0.36,0.51,50.0,0.59,80,89,81,0
84240,95.0,187.0,0.36,0.51,50.0,0.59,88,89,77,0
84250,95.0,187.0,0.36,0.51,50.0,0.59,83,89,77,0
84260,95.0,187.0,0.36,0.51,50.0,0.59,77,89,77,0
84270,95.0,187.0,0.36,0.51,50.0,0.59,83,89,77,0
84280,95.0,187.0,0.36,0.51,50.0,0.59,84,90,77,0
84290,95.0,187.0,0.36,0.51,50.0,0.59,83,89,77,0
84300,95.0,187.0,0.36,0.51,50.0,0.59,81,89,95,0
84310,95.0,187.0,0.36,0.51,50.0,0.59,73,89,95,0
84320,95.0,187.0,0.36,0.51,50.0,0.59,72,88,95,0
84330,95.0,187.0,0.36,0.51,50.0,0.59,71,90,95,0
